"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5020","Should upload Testdoc2.pdf","webkit","2026-09-15","passed","2026-09-15","Cart","upload.spec.ts","",""
"","4064","Access Downloads","firefox","2026-09-15","passed","2026-09-15","Account Page","myaccount.spec.ts","",""
"","6685","Exercise 2 confirm amount of articles under Recent Posts","chromium","2026-09-15","failed","2026-09-15","Blog","blog.spec.ts","",""
"","12029","Verify search icon is visuble using xpath selector","firefox","2026-09-15","passed","2026-09-15","Home","home.spec.ts","",""
"","6507","Should upload Testdoc.pdf","firefox","2026-09-15","passed","2026-09-15","Cart","upload.spec.ts","",""
"","4338","Verify login and register is visible","firefox","2026-09-15","passed","2026-09-15","Account Page > Login page","myaccount.spec.ts","",""
"","5848","Verify heading text is visible using text selector","chromium","2026-09-15","passed","2026-09-15","Home","home.spec.ts","",""
"","4168","Should upload a test file on a hidden input field","chromium","2026-09-15","passed","2026-09-15","Cart","upload.spec.ts","",""
"","4202","Verify search icon is visuble using xpath selector","webkit","2026-09-15","passed","2026-09-15","Home","home.spec.ts","",""
"","12986","Login","firefox","2026-09-15","passed","2026-09-15","Account Page","myaccount.spec.ts","",""
"","6471","Click get started button using CSS selector","webkit","2026-09-15","passed","2026-09-15","Home","home.spec.ts","",""
"","5717","Open HomePage and verify title","chromium","2026-09-15","passed","2026-09-15","Home","home.spec.ts","",""
"","6598","Verify heading text is visible using text selector","firefox","2026-09-15","passed","2026-09-15","Home","home.spec.ts","",""
"","5834","Verify heading text is visible using text selector","webkit","2026-09-15","passed","2026-09-15","Home","home.spec.ts","",""
"","6432","Should upload Testdoc.pdf","webkit","2026-09-15","passed","2026-09-15","Cart","upload.spec.ts","",""
"","4322","Verify single nav links using css selector","chromium","2026-09-15","passed","2026-09-15","Home","home.spec.ts","",""
"","6045","Access Orders","webkit","2026-09-15","passed","2026-09-15","Account Page","myaccount.spec.ts","",""
"","7743","Verify home link is enabled using text and css selector","chromium","2026-09-15","passed","2026-09-15","Home","home.spec.ts","",""
"","16767","Exercise 1 fill out form and verify confirmation text","firefox","2026-09-15","passed","2026-09-15","Contact","contact.spec.ts","",""
"","5831","Exercise 2 confirm amount of articles under Recent Posts","webkit","2026-09-15","failed","2026-09-15","Blog","blog.spec.ts","",""
"","4895","Should upload Testdoc.pdf","chromium","2026-09-15","passed","2026-09-15","Cart","upload.spec.ts","",""
"","5092","Verify single nav links using css selector","webkit","2026-09-15","passed","2026-09-15","Home","home.spec.ts","",""
"","9647","Open AboutPage and verify title","firefox","2026-09-15","passed","2026-09-15","Home","home.spec.ts","",""
"","7609","Open AboutPage and verify title","webkit","2026-09-15","passed","2026-09-15","Home","home.spec.ts","",""
"","5924","Open HomePage and verify title","firefox","2026-09-15","passed","2026-09-15","Home","home.spec.ts","",""
"","3110","Verify home link is enabled using text and css selector","webkit","2026-09-15","passed","2026-09-15","Home","home.spec.ts","",""
"","6463","Should upload Testdoc2.pdf","firefox","2026-09-15","passed","2026-09-15","Cart","upload.spec.ts","",""
"","5289","Should upload a test file on a hidden input field","webkit","2026-09-15","passed","2026-09-15","Cart","upload.spec.ts","",""
"","3915","Login","chromium","2026-09-15","passed","2026-09-15","Account Page","myaccount.spec.ts","",""
"","5256","Verify login and register is visible","webkit","2026-09-15","passed","2026-09-15","Account Page > Login page","myaccount.spec.ts","",""
"","5686","Verify search icon is visuble using xpath selector","chromium","2026-09-15","passed","2026-09-15","Home","home.spec.ts","",""
"","4975","Should upload Testdoc2.pdf","chromium","2026-09-15","passed","2026-09-15","Cart","upload.spec.ts","",""
"","8015","Access Orders","firefox","2026-09-15","passed","2026-09-15","Account Page","myaccount.spec.ts","",""
"","5896","Verify home link is enabled using text and css selector","firefox","2026-09-15","passed","2026-09-15","Home","home.spec.ts","",""
"","5373","Open HomePage and verify title","webkit","2026-09-15","passed","2026-09-15","Home","home.spec.ts","",""
"","4574","Access Downloads","chromium","2026-09-15","passed","2026-09-15","Account Page","myaccount.spec.ts","",""
"","8903","Exercise 1 fill out form and verify confirmation text","webkit","2026-09-15","passed","2026-09-15","Contact","contact.spec.ts","",""
"","6657","Open AboutPage and verify title","chromium","2026-09-15","passed","2026-09-15","Home","home.spec.ts","",""
"","15744","Exercise 2 confirm amount of articles under Recent Posts","firefox","2026-09-15","failed","2026-09-15","Blog","blog.spec.ts","",""
"","4018","Verify login and register is visible","chromium","2026-09-15","passed","2026-09-15","Account Page > Login page","myaccount.spec.ts","",""
"","5804","Access Downloads","webkit","2026-09-15","passed","2026-09-15","Account Page","myaccount.spec.ts","",""
"","6922","Verify single nav links using css selector","firefox","2026-09-15","passed","2026-09-15","Home","home.spec.ts","",""
"","4621","Access Orders","chromium","2026-09-15","passed","2026-09-15","Account Page","myaccount.spec.ts","",""
"","6887","Click get started button using CSS selector","firefox","2026-09-15","passed","2026-09-15","Home","home.spec.ts","",""
"","5518","Should upload a test file on a hidden input field","firefox","2026-09-15","passed","2026-09-15","Cart","upload.spec.ts","",""
"","4535","Login","webkit","2026-09-15","passed","2026-09-15","Account Page","myaccount.spec.ts","",""
"","6056","Click get started button using CSS selector","chromium","2026-09-15","passed","2026-09-15","Home","home.spec.ts","",""
"","8289","Exercise 1 fill out form and verify confirmation text","chromium","2026-09-15","passed","2026-09-15","Contact","contact.spec.ts","",""
